Variables,Labels,Data
sedconsx,CF-13 R rec d Instruction-How to Use a Condom before/after 1st sex,NSFG female respondent
sedstd,CF-14 Formal Sex Ed Before 18: STD,NSFG female respondent
SEDSTDLC1,CF-14a Place where received instructions on sexually transmitted diseases-1st Me,NSFG female respondent
SEDSTDLC2,CF-14a Place where received instructions on sexually transmitted diseases-2nd Me,NSFG female respondent
SEDSTDLC3,CF-14a Place where received instructions on sexually transmitted diseases-3rd Me,NSFG female respondent
SEDSTDLC4,CF-14a Place where received instructions on sexually transmitted diseases-4th Me,NSFG female respondent
sedstdg,CF-15 Grade R 1st Received Sex Ed on STDs,NSFG female respondent
sedstdsx,CF-16 Received Sex Ed on STD before/after 1st sex,NSFG female respondent
sedhiv,CF-17 Formal Sex Ed Before 18: HIV/AIDS,NSFG female respondent
SEDHIVLC1,CF-17a Place where received instructions on how to prevent HIV/AIDS-1st Mention,NSFG female respondent
SEDHIVLC2,CF-17a Place where received instructions on how to prevent HIV/AIDS-2nd Mention,NSFG female respondent
SEDHIVLC3,CF-17a Place where received instructions on how to prevent HIV/AIDS-3rd Mention,NSFG female respondent
SEDHIVLC4,CF-17a Place where received instructions on how to prevent HIV/AIDS-4th Mention,NSFG female respondent
sedhivg,CF-18 Grade R 1st Received Sex Ed on HIV/AIDS,NSFG female respondent
sedhivsx,CF-19 Received Sex Ed on HIV/AIDS before/after 1st sex,NSFG female respondent
sedabst,CF-20 Formal Sex Ed Before 18: Waiting Until Marriage,NSFG female respondent
SEDABLC1,CF-20a Place where received instruction about waiting until marriage to have sex,NSFG female respondent
SEDABLC2,CF-20a Place where received instruction about waiting until marriage to have sex,NSFG female respondent
SEDABLC3,CF-20a Place where received instruction about waiting until marriage to have sex,NSFG female respondent
SEDABLC4,CF-20a Place where received instruction about waiting until marriage to have sex,NSFG female respondent
sedabstg,CF-21 R's Grade When Received Instruction on Waiting Until Marriage,NSFG female respondent
sedabssx,CF-22 R rec d instruction-Waiting Until Marriage before/after 1st sex,NSFG female respondent
onown,AG-0a Did R ever live away from parents/guardians before age 18,NSFG female respondent
ONOWN18,Whether R lived on own before age 18,NSFG female respondent
eversex,CE-1 Ever Had Sexual Intercourse with a Man,NSFG female respondent
rhadsex,Whether R Has Ever Had Sex (Vaginal Intercourse),NSFG female respondent
ynosex,CE-2 Main Reason R Has Not Had Sex With a Man,NSFG female respondent
grfstsx,CE-8 Grade R Was in at First Sexual Intercourse,NSFG female respondent
sxmtonce,CE-9 Has R Had Sexual Intercourse More Than Once,NSFG female respondent
methdiss,EA-16 R ever stop using method because dissatisfied with it,NSFG female respondent
whencond,EA-18e If discontinued condom within past 12 months,NSFG female respondent
REASCOND01,EA-19 Reason not satisfied with condom - 1st mention,NSFG female respondent
REASCOND02,EA-19 Reason not satisfied with condom - 2nd mention,NSFG female respondent
REASCOND03,EA-19 Reason not satisfied with condom - 3rd mention,NSFG female respondent
REASCOND04,EA-19 Reason not satisfied with condom - 4th mention,NSFG female respondent
REASCOND05,EA-19 Reason not satisfied with condom - 5th mention,NSFG female respondent
REASCOND06,EA-19 Reason not satisfied with condom - 6th mention,NSFG female respondent
REASCOND07,EA-19 Reason not satisfied with condom - 7th mention,NSFG female respondent
vagsex,JD-1 Ever Had Vaginal Intercourse with a Male,NSFG female respondent
agevagr,JD-2 R's Age at First Vaginal Intercourse with a Male,NSFG female respondent
condvag,JD-4 R Used Condom at Last Vaginal Intercourse with a Male,NSFG female respondent
whycondl,JD-5 Reason R Used Condom at Last Vaginal Intercourse w/a Male,NSFG female respondent
getoralm,JD-6 R has ever received oral sex from a male,NSFG female respondent
givoralm,JD-7 R has ever performed oral sex on a male,NSFG female respondent
condfell,JD-8 R Used Condom at Last Oral Sex with a Male,NSFG female respondent
timing,"JD-8b First oral sex before, after, or during first vag sex?",NSFG female respondent
analsex,JD-9 R Ever Had Anal Sex with a Male,NSFG female respondent
condanal,JD-10 R Used Condom at Last Anal Sex with a Male,NSFG female respondent
condsexl,JD-11 R Used Condom at Last Sex (any type) with a Male,NSFG female respondent
anyoral,Whether R has ever had oral sex with a male (computed in FC J-8b),NSFG female respondent
oppsexany,"Ever Had Vaginal, Oral, or Anal Sex with a Male (computed in FC J-9)",NSFG female respondent
oppsexgen,Ever Had Male-Genital-Involving Sex with a Male (computed in FC J-9),NSFG female respondent
VAGNUM12,JF-2YRa # male partners past 12 months had vaginal intercourse with,NSFG female respondent
ORALNUM12,JF-2YRb # male partners past 12 months had oral sex with,NSFG female respondent
ANALNUM12,JF-2YRc # male partners past 12 months had anal sex with,NSFG female respondent
bisexprt,JF-3 Last 12 months: R Had Sex w/Male Who Ever Had Sex w/Males,NSFG female respondent
nonmonog,JF-4 Last 12 months: R Had Sex w/Male Who Had Other Partners,NSFG female respondent
NNONMONOG1,JF-5a Number of male partners in last year who were having sex with others,NSFG female respondent
NNONMONOG2,JF-5b Number of other partners R's 1 partner in last year had at same time,NSFG female respondent
NNONMONOG3,JF-5c Number of other partners R's most recent partner in last year had at same,NSFG female respondent
MALSHT12,JF-6 Last 12 months: R had sex w/male intravenous drug user,NSFG female respondent
prostfrq,JF-7 Last 12 months: R took money or drugs from male for sex,NSFG female respondent
johnfreq,JF-8 Last 12 months: R gave money or drugs to male for sex,NSFG female respondent
HIVMAL12,JF-9 Last 12 months: R had sex with an HIV-positive male,NSFG female respondent
opplifenum,Number of opposite-sex partners in lifetime for all types of sex (computed in FC,NSFG female respondent
oppyearnum,Number of opposite-sex partners in last 12 months for all types of sex. (compute,NSFG female respondent
nobedyr,"JC-0a R had to stay overnight in a shelter, car or someplace outdoors",NSFG female respondent
stayrel,JC-0b R had to stay overnight with a friend or relative,NSFG female respondent
evsuspen,JC-0c Ever been suspended or expelled from school?,NSFG female respondent
gradsusp,JC-0d Grade when suspended or expelled from school,NSFG female respondent
SMK100,JC-1 Has R Smoked at Least 100 Cigarettes in Life,NSFG female respondent
agesmk,JC-2 Age That R First Began Smoking Regularly,NSFG female respondent
SMOKE12,JC-3 Last 12 months: How Often R Smoked Cigarettes,NSFG female respondent
smkstop,JC-3a Was R provided with counseling to stop smoking,NSFG female respondent
DRINK12,JC-4 Last 12 months: How Often Drank Alcoholic Beverages,NSFG female respondent
UNIT30D,JC-4a-U Drinking in past 30 days - unit of response,NSFG female respondent
DRINK30D,JC-4a-N Drinking in past 30 days - amount,NSFG female respondent
drinkday,JC-4b Number of drinks R had on average on days R drank,NSFG female respondent
BINGE30,JC-4c Number of times R binge-drank in past 30 days,NSFG female respondent
drnkmost,JC-4d Largest number of drinks R had on any occasion in past 30 days,NSFG female respondent
BINGE12,JC-5 Last 12 months: How Often Binge Drank (4+ in Couple of Hours),NSFG female respondent
POT12,JC-6 Last 12 months: How Often Smoked Marijuana,NSFG female respondent
COC12,JC-7 Last 12 months: How Often Used Cocaine,NSFG female respondent
CRACK12,JC-8 Last 12 months: How Often Used Crack,NSFG female respondent
CRYSTMTH12,JC-8a Last 12 months: How Often Used Crystal/Meth,NSFG female respondent
INJECT12,JC-9 Last 12 months: How Often Injected Non-Prescription Drugs,NSFG female respondent
WGT2017_2019,Final weight for the 2017-2019 NSFG,NSFG female respondent
secu,Randomized version of the sampling error computational unit,NSFG female respondent
sest,Randomized version of the stratum,NSFG female respondent
